Fr3.10h,Fr3.11h,Fr3.12h,Fr3.13h,Fr3.14h,Fr3.15h,Fr3.16h,Fr3.17h,Fr3.18h,Fr3.19h,Fr3.20h,Fr3.21h,Fr3.22h,Fr3.23h,Sa4.00h,Sa4.01h,Sa4.02h,Sa4.03h,Sa4.04h,Sa4.05h,Sa4.06h,Sa4.07h,Sa4.08h,Sa4.09h,Sa4.10h,Sa4.11h,Sa4.12h,Sa4.13h,Sa4.14h,Sa4.15h,Sa4.16h,Sa4.17h,Sa4.18h,Sa4.19h,Sa4.20h,Sa4.21h,Sa4.22h,Sa4.23h,Su5.00h,Su5.01h,Su5.02h,Su5.03h,Su5.04h,Su5.05h,Su5.06h,Su5.07h,Su5.08h,Su5.09h,Su5.10h
5,6,7,8,8,9,8,8,8,7,6,6,6,5,6,6,6,5,5,4,4,4,4,5,5,6,6,6,7,7,6,6,5,5,5,4,3,3,3,4,4,4,4,4,5,5,6,5,6
0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3
5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,11,10,10,10,9,9,9,9,9,9,9
9,9,10,10,10,10,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,10,10,9,9,8,8,8,7,7,6,6,8,10,12
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,98,98,99,80,98,97,84,80,66,62,60,57,57,53,54,59,82,44,57,68,85,90,39,39,48,65,59,55,71,67,80
0.3,0.2,0.2,0.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
