Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,bootstrap,max_depth,min_samples_leaf,min_samples_split,n_estimators,random_state,CV_TEST_RMSE,CV_TRAIN_RMSE,RANDOM SEED,TEST_MAX_ERROR,TEST_MEAN_ABS_ERROR,TEST_MEDIAN_ABS_ERROR,TEST_ROOT_MEAN_SQ_ERROR,Training Info
2024-04-28 23:26:07,11.6s,7e4e9122bf42408ca67879e80814625e,esc_rf_con_grid_search,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,True,None,1,2,600,777,0.050449696057735895,0.006927677995899319,777,2.536999999999999,0.27284028595881793,0.19074999999999925,0.38645898548600754,Random Forest donde los hiperparámetros se escogen mediante gridsearch y con escalado de las variables explicativas
2024-04-28 22:52:00,13.7s,7af8fd9f47bc4d2696d8bdb0db616bc1,rf_con_grid_search,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,True,28,1,2,600,777,0.050518084165288676,0.0069384863785553015,777,2.453833333333332,0.2722883189587045,0.19024999999999986,0.38557553845614284,Random Forest donde los hiperparámetros se escogen mediante gridsearch y sin escalado de las variables explicativas
2024-04-28 22:16:58,6.7s,c00c7aaa3a614762bd8110fcb260e756,esc_rf_con_random_search,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,True,28,4,4,201,777,0.06114977518427115,0.024747413602874666,777,2.614159377107139,0.27304772724375703,0.18884458660303644,0.3888818027489544,Random Forest donde los hiperparámetros se escogen mediante random search y con escalado de las variables explicativas
2024-04-28 22:14:17,7.0s,ac393e54499545f78a1c7cab7bedad90,rf_con_random_search,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,True,28,4,4,201,777,0.06112925993904976,0.024750935783784584,777,2.531724045716584,0.27280820131178823,0.18709562203965185,0.3883828250454849,Random Forest donde los hiperparámetros se escogen mediante random search y sin escalado de las variables explicativas
2024-04-28 22:12:06,5.7s,bb643a4e91564ecf9e88e21b4553c054,esc_random_forest_basico,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,,10,,,,777,0.26277845068259664,0.19425494712789337,777,2.54257313616325,0.27266523949682475,0.18757915666667624,0.38784596312347736,Random Forest con todos los hiperparámetros predeterminados y con escalado de las variables explicativas
2024-04-28 22:11:21,12.6s,481a8f31dc7442dca6bd58f018a51af3,random_forest_basico,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,,10,,,,777,0.2627375222484812,0.1942708758271285,777,2.407003176282278,0.27240766990630233,0.18807589004350211,0.38695458547829115,Random Forest con todos los hiperparámetros predeterminados y sin escalado de las variables explicativas
