Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,activation,alpha,batch_size,hidden_layer_sizes,random_state,CV_TEST_RMSE,CV_TRAIN_RMSE,RANDOM SEED,TEST_MAX_ERROR,TEST_MEAN_ABS_ERROR,TEST_MEDIAN_ABS_ERROR,TEST_ROOT_MEAN_SQ_ERROR,Training Info,C,l1_ratio,loss,max_iter,selection,solver,bootstrap,max_depth,min_samples_leaf,min_samples_split,n_estimators
2024-04-28 21:29:27,6.0s,868cfe21feb841558a11f270a0a6392f,esc-X-mlp-random-search,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,relu,0.2801,556.0,"(67, 93, 54)",,0.263712632743919,0.1984381731095024,777,2.5127347209691293,0.2802490205567668,0.1972779160524772,0.3989881912972682,Mejor modelo conseguido con RandomizedSearchCV con escalado de variables X,,,,,,,,,,,
2024-04-27 20:11:37,2.4s,2231e88727014ff684d0763fcc8a6c8b,MANUAL-selection-ELASTIC_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,,,777.0,0.4537622264437293,0.4523500964247775,777,2.524998920549013,0.3411546296744469,0.2740454039874042,0.444500923644157,Modelo elastic net,,0.15,,1000.0,,,,,,,
2024-04-28 22:16:58,6.7s,c00c7aaa3a614762bd8110fcb260e756,esc_rf_con_random_search,LOCAL,C:\Users\dacoq\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py,dacoq,FINISHED,,,,,777.0,0.0611497751842711,0.0247474136028746,777,2.614159377107139,0.273047727243757,0.1888445866030364,0.3888818027489544,Random Forest donde los hiperparámetros se escogen mediante random search y con escalado de las variables explicativas,,,,,,,True,28.0,4.0,4.0,201.0
