Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,alpha,l1_ratio,loss,max_iter,random_state,selection,solver,CV_TEST_RMSE,CV_TRAIN_RMSE,RANDOM SEED,TEST_MAX_ERROR,TEST_MEAN_ABS_ERROR,TEST_MEDIAN_ABS_ERROR,TEST_ROOT_MEAN_SQ_ERROR,Training Info
2024-04-25 21:48:59,2.2s,e2d9f55352214a68bfeb2ebf4666957d,manual-selection-elastic_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.15,,1000,777,,,0.47089499892908754,0.4685658025638534,777,2.3913224529925046,0.34745668759912285,0.27530091976344623,0.45301151887989294,Modelo elastic net
2024-04-25 21:45:29,2.1s,49edc7bd221542e49a363d3e509eb771,elastic_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.15,,1000,777,,,0.46865042113198474,0.466200618364138,777,2.3506075129027693,0.34828107949039866,0.2794537684444716,0.4530781518435188,Modelo elastic net
2024-04-25 21:45:24,2.0s,bb9ddbebae1148d8b65a71b3dd5f0331,elastic_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.0,,500,777,,,0.4680809696669477,0.4652965889129111,777,2.34547582441855,0.3484665785286415,0.2785247075974797,0.45362121485907814,Modelo elastic net
2024-04-25 21:48:55,1.9s,ffc8f5b34d184e3c9523b41315c434dc,manual-selection-elastic_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.0,,500,777,,,0.47036768813569463,0.4677005978451511,777,2.3829917588509737,0.3477178870129286,0.2767432216097617,0.45366150866373955,Modelo elastic net
2024-04-25 21:45:37,1.9s,29635759a12a493690bab29c7ef71f11,escalado-elastic_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.15,,1000,777,,,0.4685406251687031,0.4660245683768623,777,2.4016246810082604,0.34884522826940634,0.2799769868093489,0.4542007357967838,Modelo elastic net
2024-04-25 21:49:07,1.8s,9bab7723185e4c4eb2d7662cfc09821d,escalado-manual-selection-elastic_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.15,,1000,777,,,0.47007209257000593,0.4676263884721192,777,2.4192594010834987,0.34907645533434106,0.28087049735482206,0.45474909751054043,Modelo elastic net
2024-04-25 21:45:33,1.8s,2b90a95bfaa140eca2d2b8cb29eed35f,escalado-elastic_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.0,,500,777,,,0.46739383515167016,0.46460845726663874,777,2.385942961973889,0.34952371979807273,0.27993130324977683,0.4548760768692559,Modelo elastic net
2024-04-25 21:45:11,1.8s,71a5d12401404d4ba8ad573e7ae64341,lasso_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,,,2000,777,random,,0.47542573340911565,0.4740061388373914,777,2.3854133118335348,0.35095124855575865,0.2817499787362401,0.45491700469692087,Modelo lasso
2024-04-25 21:45:07,1.9s,44055d9903954aaf80f5b132ddc8699a,lasso_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,,,1000,777,random,,0.47542496241325016,0.4740070044043908,777,2.3853832257290435,0.3509525324191503,0.2816930125817354,0.4549195856756683,Modelo lasso
2024-04-25 21:49:03,2.0s,bcf5f65247b84439b147b301888aa632,escalado-manual-selection-elastic_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,0.0,,500,777,,,0.46952610525172583,0.4668069814052659,777,2.4121208025359966,0.34946875947503175,0.28074490176573413,0.4554009508008006,Modelo elastic net
2024-04-25 21:48:44,1.7s,f575a4aeacb44ce8b229b4794ba7a16c,manual-selection-lasso_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,,,500,777,random,,0.4775145318250624,0.4762049187592563,777,2.417516751239333,0.35045989391095855,0.28056516246359636,0.4554368874019835,Modelo lasso
2024-04-25 21:48:40,1.7s,150b3770b495447ea40a62c6869746c3,manual-selection-lasso_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.01,,,100,777,random,,0.4775145318250624,0.4762049187592563,777,2.417516751239333,0.35045989391095855,0.28056516246359636,0.4554368874019835,Modelo lasso
2024-04-25 21:43:43,2.0s,c4bd08127e63451894281f01f2165394,ridge_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.96,,,1000,777,,saga,0.46719788670283807,0.4641718321753362,777,2.3531787208611483,0.3508746796097043,0.27957397667003825,0.4563938594375065,Modelo ridge
2024-04-25 21:43:10,1.9s,e05eb293547c46039c601b2df3889fb5,ridge_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.96,,,None,777,,saga,0.46719788670283807,0.4641718321753362,777,2.3531787208611483,0.3508746796097043,0.27957397667003825,0.4563938594375065,Modelo ridge
2024-04-25 21:48:11,2.6s,b62145dce97d45e2b2df6f9952675130,manual-selection-ridge_random_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.72,,,None,777,,lsqr,0.4695121063442468,0.46659859120194136,777,2.399042525045367,0.35050827646270294,0.2822958645238195,0.45681808388169953,Modelo ridge
2024-04-25 21:47:39,2.9s,db31e041959e4b498abdcb7153c3c0a4,manual-selection-ridge_grid_search,LOCAL,/Users/tyomikjan/UNIVERSITY/PD1/PD/venv/lib/python3.11/site-packages/ipykernel_launcher.py,tyomikjan,FINISHED,,0.71,,,None,777,,lsqr,0.46951218743240786,0.46659857617126577,777,2.3990459841151157,0.3505093894592272,0.2823021900635275,0.45681929545031036,Modelo ridge
