Fr3.13h,Fr3.14h,Fr3.15h,Fr3.16h,Fr3.17h,Fr3.18h,Fr3.19h,Fr3.20h,Fr3.21h,Fr3.22h,Fr3.23h,Sa4.00h,Sa4.01h,Sa4.02h,Sa4.03h,Sa4.04h,Sa4.05h,Sa4.06h,Sa4.07h,Sa4.08h,Sa4.09h,Sa4.10h,Sa4.11h,Sa4.12h,Sa4.13h,Sa4.14h,Sa4.15h,Sa4.16h,Sa4.17h,Sa4.18h,Sa4.19h,Sa4.20h,Sa4.21h,Sa4.22h,Sa4.23h,Su5.00h,Su5.01h,Su5.02h,Su5.03h,Su5.04h,Su5.05h,Su5.06h,Su5.07h,Su5.08h,Su5.09h,Su5.10h,Su5.11h,Su5.12h,Su5.13h
7,8,8,8,7,7,6,5,5,5,4,4,5,5,4,4,3,3,3,3,3,4,5,6,7,7,7,7,6,6,5,4,4,3,3,3,3,4,5,5,5,6,5,5,5,5,6,7,7
0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,11,10,10,10,9,9,9,9,9,9,9,6,6,9
10,10,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,11,11,11,12,12,12,12,12,11,11,10,10,9,9,8,8,7,7,6,6,6,8,10,12,13,13,13
100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,98,70,92,67,61,75,61,68,78,85,57,86,95,93,91,82,72,44,51,80,74,56,59,58,22,50,79,56,60,78,80,94,91
0.3,0.2,0.1,0.1,0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
