Fr3.16h,Fr3.17h,Fr3.18h,Fr3.19h,Fr3.20h,Fr3.21h,Fr3.22h,Fr3.23h,Sa4.00h,Sa4.01h,Sa4.02h,Sa4.03h,Sa4.04h,Sa4.05h,Sa4.06h,Sa4.07h,Sa4.08h,Sa4.09h,Sa4.10h,Sa4.11h,Sa4.12h,Sa4.13h,Sa4.14h,Sa4.15h,Sa4.16h,Sa4.17h,Sa4.18h,Sa4.19h,Sa4.20h,Sa4.21h,Sa4.22h,Sa4.23h,Su5.00h,Su5.01h,Su5.02h,Su5.03h,Su5.04h,Su5.05h,Su5.06h,Su5.07h,Su5.08h,Su5.09h,Su5.10h,Su5.11h,Su5.12h,Su5.13h,Su5.14h,Su5.15h,Su5.16h
8,8,8,6,5,5,5,5,4,4,4,4,4,3,3,2,3,4,5,5,6,7,7,7,7,6,6,5,4,4,3,3,3,3,3,4,5,5,6,5,5,5,5,5,6,7,7,7,6
0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,3,3,7,7,7,7,7,7,6,6,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9
11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,11,11,11,12,12,12,12,12,11,11,10,10,9,9,8,8,7,6,6,5,6,7,10,11,13,13,14,14,14,14
100,100,99,100,100,100,100,100,100,100,99,99,99,98,72,92,69,63,75,65,70,80,83,56,88,87,82,83,77,69,31,38,57,52,46,49,48,20,44,68,47,42,45,64,79,72,82,96,97
0.1,0.1, , , ,0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
