Tu7.07h,Tu7.09h,Tu7.11h,Tu7.13h,Tu7.15h,Tu7.17h,Tu7.19h,Tu7.21h,We8.03h,We8.05h,We8.07h,We8.09h,We8.11h,We8.13h,We8.15h,We8.17h,We8.19h,We8.21h,Th9.03h,Th9.05h,Th9.07h,Th9.09h,Th9.11h,Th9.13h,Th9.15h,Th9.17h,Th9.19h,Th9.21h,Fr10.03h,Fr10.05h,Fr10.07h,Fr10.09h,Fr10.11h,Fr10.13h,Fr10.15h,Fr10.17h,Fr10.19h,Fr10.22h,Sa11.04h,Sa11.06h,Sa11.08h,Sa11.10h,Sa11.12h,Sa11.14h,Sa11.16h,Sa11.18h,Sa11.22h,Su12.04h,Su12.07h,Su12.10h,Su12.13h,Su12.16h,Su12.19h,Su12.22h,Mo13.04h,Mo13.07h,Mo13.10h,Mo13.13h,Mo13.16h,Mo13.19h,Mo13.22h,Tu14.04h,Tu14.07h,Tu14.10h,Tu14.13h,Tu14.16h,Tu14.19h,Tu14.22h,We15.04h,We15.07h,We15.10h,We15.13h,We15.16h,We15.19h,We15.22h,Th16.04h,Th16.07h,Th16.10h,Th16.13h,Th16.16h,Th16.19h,Th16.22h,Fr17.04h,Fr17.07h,Fr17.10h,Fr17.13h,Fr17.16h,Fr17.19h,Fr17.22h,Sa18.04h,Sa18.07h,Sa18.10h,Sa18.13h,Sa18.16h,Sa18.19h,Sa18.22h,Su19.04h,Su19.07h,Su19.10h,Su19.13h,Su19.16h,Su19.19h,Su19.22h,Mo20.04h,Mo20.07h,Mo20.10h,Mo20.13h,Mo20.16h,Mo20.19h,Mo20.22h,Tu21.04h,Tu21.07h,Tu21.10h,Tu21.13h,Tu21.16h,Tu21.19h,Tu21.22h,We22.04h,We22.07h,We22.10h,We22.13h,We22.16h,We22.19h,We22.22h
7,6,3,5,7,7,7,5,6,5,5,7,7,8,8,8,8,6,5,5,5,5,6,7,6,5,5,4,4,4,2,4,5,6,6,6,5,4,4,4,3,5,6,6,6,5,4,5,4,7,9,9,8,6,6,6,7,7,6,6,4,10,14,16,17,15,16,14,12,11,13,11,10,8,8,7,7,8,7,5,3,1,11,12,13,10,11,10,9,7,6,6,7,10,5,7,6,4,4,8,12,11,12,15,17,20,21,11,9,4,6,7,8,13,14,10,8,3,4,7,9,6,7,3
0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,1,1.2,1.3,1.4,1.3,1.2,1.1,1.1,1.4,1.8,2.2,1.9,1.7,1.7,1.5,1.4,1.2,1.2,1.1,1,1,0.9,1,1,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.5,0.5,0.4,0.4,0.3,0.6,0.7,0.6,0.5,0.5,0.4,0.4,0.5,0.6,0.7,1.1,1.4,1.9,2.3,2.3,2,1.8,1.5,1.4,1.3,1.2,1.4,1.5,1.5,1.1,1,0.9,0.9,0.9,0.8,0.8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,3,4,4,4,9,8,8,11,11,10,10,10,5,6,7,7,6,7,8,8,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,7,7,7,3,6,6,6,6,3,4,4,5,5,5,5,3,3,4,5,5,6,7,7,8,8,10,10,10,10,10,6,6,10,10,10,7,7,7,6
9,11,14,14,14,13,13,11,10,10,10,12,13,13,13,13,12,11,11,10,11,12,13,14,14,13,13,12,11,11,11,13,14,15,15,15,14,12,11,9,12,14,15,15,15,14,12,12,12,13,13,13,13,12,11,11,12,13,12,12,12,12,13,14,15,13,12,12,11,11,13,14,14,14,11,10,10,11,14,14,14,12,10,9,13,16,15,14,11,7,7,12,14,14,14,12,8,11,13,13,13,13,12,12,12,12,12,12,13,11,8,9,11,13,13,12,9,8,9,11,12,10,11,9
0,0,45,46,43,57,48,52,68,59,63,76,82,73,43,57,38,48,48,65,70,67,65,63,62,0,0,0,60,49,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,54,78,81,67,79,85,92,83,69,44,51,82,89,75,64,96,75,0,0,0,0,0,0,0,0,68,68,91,49,46,27,40,67,49,38,0,0,0,0,0,0,0,0,0,67,78,0,0,0,78,54,0,38,89,85,90,90,100,90,0,0,0,0,0,0,0,0,70,71,0,74,84,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,0.1,,0.1,0.3,0.2,0.2,0.2,,0.2,0.3,0.2,0.2,,,,,,,,,,,,,0.2,0.2,0.9,0.9,0.6,,,,,,0.1,,,,,,,,0.1,,,,,,,,,,0.1,1.6,1.8,,0.1,,,,0.1,0.2,0.6,0.2,,,0.1,,0.7,0.2,0.1
